model,train_dataset,test_dataset,shot,seed,category,auroc,aupr
visa_va_ta_pqa_8shot,visa,mvtec,8,123,metal_nut,0.9985,0.9997
visa_va_ta_pqa_8shot,visa,mvtec,8,123,pill,0.964,0.9934
visa_va_ta_pqa_8shot,visa,mvtec,8,123,screw,0.8344,0.9358
visa_va_ta_pqa_8shot,visa,mvtec,8,123,tile,0.9993,0.9997
visa_va_ta_pqa_8shot,visa,mvtec,8,123,toothbrush,1.0,1.0
visa_va_ta_pqa_8shot,visa,mvtec,8,123,transistor,0.9425,0.9161
visa_va_ta_pqa_8shot,visa,mvtec,8,123,wood,0.9956,0.9987
visa_va_ta_pqa_8shot,visa,mvtec,8,123,zipper,0.985,0.996
visa_va_ta_pqa_8shot,visa,mvtec,8,7,bottle,0.9968,0.999
visa_va_ta_pqa_8shot,visa,mvtec,8,7,cable,0.9708,0.9832
visa_va_ta_pqa_8shot,visa,mvtec,8,7,capsule,0.911,0.9812
visa_va_ta_pqa_8shot,visa,mvtec,8,7,carpet,0.9996,0.9999
visa_va_ta_pqa_8shot,visa,mvtec,8,7,grid,0.9992,0.9997
visa_va_ta_pqa_8shot,visa,mvtec,8,7,hazelnut,1.0,1.0
visa_va_ta_pqa_8shot,visa,mvtec,8,7,leather,1.0,1.0
visa_va_ta_pqa_8shot,visa,mvtec,8,7,metal_nut,1.0,1.0
visa_va_ta_pqa_8shot,visa,mvtec,8,7,pill,0.9656,0.9937
visa_va_ta_pqa_8shot,visa,mvtec,8,7,screw,0.8229,0.9305
visa_va_ta_pqa_8shot,visa,mvtec,8,7,tile,0.9993,0.9997
visa_va_ta_pqa_8shot,visa,mvtec,8,7,toothbrush,1.0,1.0
visa_va_ta_pqa_8shot,visa,mvtec,8,7,transistor,0.9508,0.9267
visa_va_ta_pqa_8shot,visa,mvtec,8,7,wood,0.9974,0.9992
visa_va_ta_pqa_8shot,visa,mvtec,8,7,zipper,0.9863,0.9964
